GMDEQNR,NR,NAME,GMDE,Flaeche ha,,Shape_Length,Shape_Area
261011,11,Rathaus,261,36,,,
261012,12,Hochschulen,261,48,,2878.259232,356655.9977
261013,13,Lindenhof,261,27,,4980.772379,475993.4437
261014,14,City,261,57,,3043.840318,265369.6604
261021,21,Wollishofen,261,427,,,
261023,23,Leimbach,261,292,,10757.57276,4224213.693
261024,24,Enge,261,178,,7927.48554,2919124.808
261031,31,Alt-Wiedikon,261,169,,,
261033,33,Friesenberg,261,530,,7297.76736,1836209.328
261034,34,Sihlfeld,261,166,,12185.02911,5159493.619
261041,41,Werd,261,30,,,
261042,42,Langstrasse,261,121,,2699.070268,299009.7535
261044,44,Hard,261,139,,4709.835407,1137787.505
261051,51,Gewerbeschule,261,73,,,
261052,52,Escher Wyss,261,127,,4170.523663,739436.9106
261061,61,Unterstrass,261,247,,,
261063,63,Oberstrass,261,264,,10012.31497,2466200.764
261071,71,Fluntern,261,284,,,
261072,72,Hottingen,261,505,,8822.190657,2843652.074
261073,73,Hirslanden,261,219,,15039.05,5053904.75
261074,74,Witikon,261,493,,10652.58279,2187962.2
261081,81,Seefeld,261,67,,,
261082,82,M�hlebach,261,64,,6887.492721,671298.8848
261083,83,Weinegg,261,175,,5474.443775,637922.1038
261091,91,Albisrieden,261,460,,,
261092,92,Altstetten,261,746,,10000.00034,4599939.704
261101,101,H�ngg,261,698,,,
261102,102,Wipkingen,261,210,,14071.02654,6981663.453
261111,111,Affoltern,261,605,,,
261115,115,Oerlikon,261,268,,13687.01083,6030373.177
261119,119,Seebach,261,471,,8662.474217,2678369.818
261121,121,Saatlen,261,113,,,
261122,122,Schwamendingen-Mitte,261,279,,4983.558169,1133303.662
261123,123,Hirzenbach,261,205,,8664.808468,2270914.958
