GMDEQNR,NR,NAME,GMDE,Flaeche ha
261011,11,Rathaus,261,36
261012,12,Hochschulen,261,48
261013,13,Lindenhof,261,27
261014,14,City,261,57
261021,21,Wollishofen,261,427
261023,23,Leimbach,261,292
261024,24,Enge,261,178
261031,31,Alt-Wiedikon,261,169
261033,33,Friesenberg,261,530
261034,34,Sihlfeld,261,166
261041,41,Werd,261,30
261042,42,Langstrasse,261,121
261044,44,Hard,261,139
261051,51,Gewerbeschule,261,73
261052,52,Escher Wyss,261,127
261061,61,Unterstrass,261,247
261063,63,Oberstrass,261,264
261071,71,Fluntern,261,284
261072,72,Hottingen,261,505
261073,73,Hirslanden,261,219
261074,74,Witikon,261,493
261081,81,Seefeld,261,67
261082,82,Mühlebach,261,64
261083,83,Weinegg,261,175
261091,91,Albisrieden,261,460
261092,92,Altstetten,261,746
261101,101,Höngg,261,698
261102,102,Wipkingen,261,210
261111,111,Affoltern,261,605
261115,115,Oerlikon,261,268
261119,119,Seebach,261,471
261121,121,Saatlen,261,113
261122,122,Schwamendingen-Mitte,261,279
261123,123,Hirzenbach,261,205
