German Dog Breed Name,English Dog Breed Name
Zwergdackel,Dachshund
Shiba inu,Shiba inu
Saluki,Saluki
Lagotto romagnolo,Lagotto romagnolo
Rhodesian ridgeback,Rhodesian ridgeback
Chesapeake bay retriever,Chesapeake bay retriever
Affenpinscher,Affenpinscher
Deutscher grossspitz,German Spitz
Border collie,Border collie
Windhund,Greyhound
English cocker spaniel,English cocker spaniel
Australian shepherd,Australian shepherd
Dogo canario,Dogo canario
Toller,Golden Retriever
Spanischer windhund,Spanish greyhound
Biewer yorkshire terrier,Biewer yorkshire terrier
Continental bulldog,Continental bulldog
Galgo español,Galgo español
Islandhund,Iceland dog
Shetland sheepdog,Shetland sheepdog
Jack russel terrier,Jack russel terrier
Retriever,Retriever
Luzerner laufhund,Lucerne drive dog
Bulldog,Bulldog
Boston terrier,Boston terrier
Wasserhund,Water dog
Parson jack russell terrier,Parson jack russell terrier
Boxer,Boxer
Coton de tulear,Coton de tulear
Cane corso,Cane corso
Bichon havanais,Bichon havanais
Altdeutscher hütehund,Old german herding dog
Harzer fuchs,Harzer fuchs
Bretonischer spaniel,Bretonian spaniel
Weimaraner,Weimaraner
Foxterrier,Foxterrier
Spaniel,Spaniel
Australian terrier,Australian terrier
Manchester terrier,Manchester terrier
Tervueren,Tervueren
Schwedischer vallhund,Swedish vallhund
Perro de agua,Spanish Water Dog
Bull terrier,Bull terrier
Deutscher vorstehhund,German pointing dog
Alano,Alano
Pekingese,Pekingese
Französische bulldogge,French bulldog
Border terrier,Border terrier
Nova scotia duck tolling retriever,Nova scotia duck tolling retriever
Kangal,Kangal
Cirneco dell'etna,Cirneco dell'etna
Breton,Breton
Maremma-abruzzenhund,Maremma-abruzzenhund
Petit basset griffon,Petit basset griffon
Silky terrier,Silky terrier
Laufhund,Running dog
Dalmatiner,Dalmatian
Lakeland terrier,Lakeland terrier
Bichon frisé,Bichon frisé
Grosspudel,Standard Poodle
Japan chin,Japanese Chin
Border,Border
American cocker spaniel,American cocker spaniel
English toy terrier,English toy terrier
English setter,English setter
Lhasa apso,Lhasa apso
Yorkshire terrier,Yorkshire terrier
Holländischer schäfer,Dutch shepherd
Fila brasileiro,Fila brasileiro
Bernhardiner,Saint Bernard
Kleinspitz,Small spitz
Katalanischer schäferhund,Catalan shepherd dog
English staffordshire terrier,English staffordshire terrier
Pudel,Poodle
Deutscher jagdterrier,German hunting terrier
Belgischer schäfer,Belgian shepherd
Greyhound,Greyhound
American bulldog,American bulldog
Sibirischer husky,Siberian husky
Puli,Puli
Entlebucher,Entlebucher
Hirtenhund,Shepherd dog
Slovensky cuvac,Slovak cuvac
Zwergspitz,Dwarf spitz
Goldendoodle,Goldendoodle
Neufundländer,Newfoundland
Beauceron,Beauceron
Englische bulldogge,English bulldog
Leonberger,Leonberger
Norwegischer buhund,Norwegian buhund
Gordon setter,Gordon setter
Deutscher kurzhaar,German shorthaired pointer
Norwegischer lundehund,Norwegian lundehund
Tibet terrier,Tibetan terrier
Welsh corgi cardigan,Welsh corgi cardigan
Mittelspitz,Medium spitz
Bardino,Bardino
Basset hound,Basset hound
Bergamasker,Bergamasker
Do-khyi,Tibetan Mastiff
Deutscher langhaarschäfer,German longhaired shepherd
Golden retriever,Golden retriever
Polski owczarek nizinny,Polish Lowland Sheepdog
Schweizer niederlaufhund,Swiss lowland dog
Kromfohrländer,Kromfohrländer
Whippet,Whippet
Australian cattle dog,Australian cattle dog
Cimarron uruguayo,Cimarron uruguayo
Azawakh,Azawakh
Phalène,Phalène
Mastiff,Mastiff
Basenji,Basenji
Chihuahua,Chihuahua
Kurzhaar dackel,Shorthair dachshund
Mischling klein,Mixed breed small
American staffordshire terrier,American staffordshire terrier
Kishu,Kishu
Airedale terrier,Airedale terrier
Maremmano,Maremmano
Appenzeller sennenhund,Appenzell mountain dog
Zwergpudel,Dwarf poodle
Papillon,Papillon
Nackthund,Nude dog
Thai ridgeback,Thai ridgeback
Zwergrauhaardackel,Dwarf wire-haired dachshund
Italienisches windspiel,Italian greyhound
Ratenero bodeguero,Ratenero bodeguero
Malinois,Malinois
Altdeutscher schäfer,Old German shepherd
Welsh corgi pembroke,Welsh corgi pembroke
Welsh terrier,Welsh terrier
Hovawart,Hovawart
Bearded collie,Bearded collie
Pointer,Pointer
Irish wolfhound,Irish wolfhound
Schweizer sennenhund,Swiss mountain dog
Chow chow,Chow chow
Welsh springer spaniel,Welsh springer spaniel
Labrador retriever,Labrador retriever
Berger blanc suisse,Berger blanc suisse
Toypudel,Toy poodle
Corgie,Corgi
Kooiker,Kooiker
Dobermann,Doberman
Scottish terrier,Scottish terrier
Sheltie,Sheltie
Bobtail,Bobtail
Zwergschnauzer,Dwarf schnauzer
Entlebucher sennenhund,Entlebucher mountain dog
Schäfer,Shepherd
Kerry blue terrier,Kerry blue terrier
Irish terrier,Irish terrier
Afghane,Afghan hound
Münsterländer,Münsterländer
Setter,Setter
Pomeranian,Pomeranian
Windspiel,Wind chime
Zwergpinscher,Dwarf pinscher
Husky,Husky
Welsh corgi,Welsh corgi
Jura laufhund,Jura drive dog
Rottweiler,Rottweiler
Old englische bulldogge,Old English bulldog
Schapendoes,Schapendoes
Boerboel,Boerboel
Cattle dog,Cattle dog
Bayerischer gebirgsschweisshund,Bavarian mountain scent hound
Curly coated retriever,Curly coated retriever
Malteser,Maltese
Parson terrier,Parson terrier
Miniature bull terrier,Miniature bull terrier
Malamut,Malamute
Flat coated retriever,Flat coated retriever
Dachsbracke,Dachshund bracket
Alaskan malamute,Alaskan malamute
Daisy-dog,Daisy dog
Tibetan spaniel,Tibetan spaniel
Spitz,Spitz
Soft coated wheaten terrier,Soft coated wheaten terrier
Basset griffon vendéen,Basset griffon vendéen
Deerhound,Deerhound
Norfolk terrier,Norfolk terrier
Irish water spaniel,Irish water spaniel
Staffordshire bull terrier,Staffordshire bull terrier
Deutscher schäfer,German shepherd
Dachshund,Dachshund
Löwchen,Löwchen
Rauhaar dackel,Rough-haired dachshund
Labradoodle,Labradoodle
Miniature australien shepard,Miniature australian shepherd
Dackel,Dachshund
Mittelpudel,Standard poodle
Deutscher boxer,German boxer
Königspudel,Standard poodle
Afghanischer windhund,Afghan hound
Saarloos-wolfshund,Saarloos-wolfshund
Bologneser,Bolognese
Field spaniel,Field spaniel
Niederlaufhund,Lowland hound
Zwergdachshund,Dwarf dachshund
Segugio,Segugio
Tschechoslowakischer wolfshund,Czechoslovakian wolfhound
Groenendael,Groenendael
Sloughi,Sloughi
Polnische bracke,Polish hound
Skye terrier,Skye terrier
Canaan dog,Canaan dog
Chinese crested hairless dog,Chinese crested hairless dog
Kuvasz,Kuvasz
Riesenschnauzer,Giant schnauzer
Bichon,Bichon
Bouvier,Bouvier
Podenco ibicenco,Podenco ibicenco
Poitevin jagdhund,Poitevin hunting dog
Pumi,Pumi
Kaninchen-dachshund,Rabbit dachshund
Cocker spaniel,Cocker spaniel
Deutscher wachtel,German quail dog
Pinscher,Pinscher
Podenco,Podenco
Chinese crested,Chinese crested
Toyterrier,Toy terrier
Katalanischer hirtenhund,Catalan shepherd dog
Collie,Collie
Pit bull terrier,Pit bull terrier
